estrategia,instancia,dia,rutas,paradas_prom,distancia_prom,duracion_prom,relgap,costo,tiempo_cpu
R,Depot1_Tuesday_7,Tuesday,178,46.21348314606742,29.52,4.175833333333333,0.0,7060500,0.0
R,Depot5_Friday_3,Friday,116,59.58620689655172,24.36,7.391333333333334,0.0,4276000,0.0
R,Depot2_Saturday_4,Saturday,48,46.6875,67.89,6.606333333333334,0.0,2283500,0.0
R,Depot2_Monday_6,Monday,85,60.03529411764706,72.69,6.925333333333333,0.0,3566500,0.0
R,Depot3_Sunday_5,Sunday,70,33.47142857142857,40.23,4.369833333333333,0.0,2428000,0.0
R,Depot2_Thursday_2,Thursday,53,57.22641509433962,60.04,7.369166666666667,0.0,2514500,0.0
R,Depot1_Monday_6,Monday,136,50.55882352941177,35.83,5.934666666666667,0.0,5551500,0.0
R,Depot5_Thursday_2,Thursday,90,66.66666666666667,36.45,7.247833333333333,0.0,3318000,0.0
R,Depot5_Saturday_4,Saturday,124,63.983870967741936,16.06,7.846500000000001,0.0,4675000,0.0
R,Depot5_Wednesday_1,Wednesday,134,66.61940298507463,27.58,7.533166666666667,0.0,5161000,0.0
R,Depot4_Friday_3,Friday,27,51.25925925925926,38.79,5.7,0.0,1160000,0.0
R,Depot2_Wednesday_1,Wednesday,87,59.60919540229885,59.62,6.9085,0.0,3704500,0.0
R,Depot3_Tuesday_7,Tuesday,199,37.73869346733668,87.85,4.2844999999999995,0.0,6481500,0.0
R,Depot4_Monday_6,Monday,32,58.34375,61.17,6.317666666666667,0.0,1385000,0.0
R,Depot1_Thursday_2,Thursday,28,47.67857142857143,31.4,6.619,0.0,1257500,0.0
R,Depot1_Wednesday_1,Wednesday,63,51.41269841269841,24.23,6.4855,0.0,2695500,0.0
R,Depot1_Saturday_4,Saturday,25,46.32,31.72,5.530666666666666,0.0,1515500,0.0
R,Depot5_Monday_6,Monday,91,66.17582417582418,56.9,8.339666666666666,0.0,3771000,0.0
R,Depot2_Friday_3,Friday,87,56.48275862068966,77.99,6.79,0.0,3788500,0.0
R,Depot1_Friday_3,Friday,105,40.97142857142857,28.32,5.816999999999999,0.0,4340000,0.0
R,Depot1_Monday_6,Monday,65,46.61538461538461,27.39,4.260833333333333,0.0,2135000,0.0
R,Depot4_Tuesday_7,Tuesday,29,51.89655172413793,54.3,5.903499999999999,0.0,1174000,0.0
R,Depot1_Tuesday_7,Tuesday,1,106.0,120.13,5.95,0.0,57000,0.0
R,Depot5_Tuesday_7,Tuesday,148,61.74324324324324,38.84,7.056166666666667,0.0,5398000,0.0
R,Depot3_Friday_3,Friday,191,35.80104712041885,80.75,4.567666666666667,0.0,6180500,0.0
R,Depot4_Thursday_2,Thursday,18,52.27777777777778,54.34,6.388,0.0,723000,0.0
R,Depot4_Saturday_4,Saturday,25,54.64,51.86,5.696,0.0,1090000,0.0
R,Depot5_Sunday_5,Sunday,60,66.1,31.0,7.705,0.0,2278500,0.0
R,Depot3_Monday_6,Monday,194,35.47422680412371,36.92,4.6145000000000005,0.0,6480500,0.0
R,Depot3_Wednesday_1,Wednesday,207,37.29468599033817,25.7,4.5865,0.0,6545500,0.0
R,Depot1_Sunday_5,Sunday,41,49.80487804878049,33.56,6.212999999999999,0.0,2035000,0.0
R,Depot3_Thursday_2,Thursday,166,36.3855421686747,30.17,4.244,0.0,5298500,0.0
R,Depot3_Saturday_4,Saturday,148,38.16891891891892,32.92,4.474833333333334,0.0,4803500,0.0
R,Depot1_Friday_3,Friday,123,48.886178861788615,29.1,4.2571666666666665,0.0,4792000,0.0
R,Depot2_Tuesday_7,Tuesday,55,56.29090909090909,103.14,6.597333333333333,0.0,2526500,0.0
R,Depot1_Thursday_2,Thursday,115,51.33913043478261,18.72,4.499,0.0,4432000,0.0
R,Depot1_Saturday_4,Saturday,110,48.263636363636365,21.44,4.478,0.0,4301500,0.0
R,Depot4_Wednesday_1,Wednesday,27,58.66666666666666,44.85,6.111166666666667,0.0,1132000,0.0
R,Depot1_Wednesday_1,Wednesday,177,47.25988700564972,38.3,4.456833333333334,0.0,6849500,0.0
1,Depot1_Tuesday_7,Tuesday,143,72.32167832167832,34.92,3.6446666666666667,0.9573067523793032,5335500,52.398
1,Depot5_Friday_3,Friday,134,71.04477611940298,67.38,4.745666666666667,0.6876467538832324,3858000,37.397
1,Depot2_Saturday_4,Saturday,38,67.10526315789474,172.56,8.287333333333333,0.0,1321000,7.206
1,Depot2_Monday_6,Monday,79,84.81012658227849,129.37,6.949,0.0,3296500,28.485
1,Depot3_Sunday_5,Sunday,56,46.892857142857146,68.26,4.770833333333333,0.0,1128000,10.822
1,Depot2_Thursday_2,Thursday,45,76.33333333333333,174.39,8.666,0.0,1722500,14.705
1,Depot1_Monday_6,Monday,125,72.992,37.03,3.667666666666667,1.2868680224908151,5082500,35.709
1,Depot5_Thursday_2,Thursday,106,67.45283018867924,72.45,5.291333333333333,0.2991768379259208,2706500,37.558
1,Depot5_Saturday_4,Saturday,152,67.5657894736842,64.77,4.6425,1.3692222005541532,4639000,46.086
1,Depot5_Wednesday_1,Wednesday,161,73.75155279503106,65.15,4.819833333333333,1.7469471258228588,5032000,56.387
1,Depot4_Friday_3,Friday,28,66.42857142857143,103.77,5.686833333333333,0.0,1205000,12.844
1,Depot2_Wednesday_1,Wednesday,80,84.45,138.92,7.202666666666667,0.0,3383500,26.071
1,Depot3_Tuesday_7,Tuesday,199,46.93467336683417,46.74,3.3556666666666666,2.499840061664066,5957500,86.91
1,Depot4_Monday_6,Monday,33,67.48484848484848,83.69,5.1455,0.0,1402000,21.203
1,Depot1_Thursday_2,Thursday,20,70.2,83.88,7.020833333333333,0.0,1093500,11.55
1,Depot1_Wednesday_1,Wednesday,51,70.09803921568627,51.96,5.028833333333334,0.0,2377500,12.891
1,Depot1_Saturday_4,Saturday,18,72.66666666666667,69.83,5.957333333333334,0.0,1150500,9.182
1,Depot5_Monday_6,Monday,112,70.58035714285714,76.39,5.3625,1.0951403148595449,3012000,40.376
1,Depot2_Friday_3,Friday,85,80.05882352941177,128.06,6.499666666666667,0.0,3574500,21.162
1,Depot1_Friday_3,Friday,83,66.81927710843374,37.96,3.7655000000000003,0.5522374426726248,3082000,21.707
1,Depot1_Monday_6,Monday,55,60.0,47.01,4.274500000000001,0.0,970000,23.826
1,Depot4_Tuesday_7,Tuesday,29,63.96551724137931,107.68,5.922333333333333,0.0,1198000,13.194
1,Depot1_Tuesday_7,Tuesday,1,116.0,50.85,4.716666666666667,0.0,57000,0.058
1,Depot5_Tuesday_7,Tuesday,163,75.920245398773,63.5,4.7715000000000005,0.9599870313081666,5157000,45.372
1,Depot3_Friday_3,Friday,195,43.00512820512821,47.75,3.218166666666667,0.3459414937061621,5735500,93.784
1,Depot4_Thursday_2,Thursday,17,62.94117647058823,136.0,6.998,0.0,634000,4.914
1,Depot4_Saturday_4,Saturday,24,68.29166666666667,125.08,6.673666666666667,0.0,961000,11.503
1,Depot5_Sunday_5,Sunday,64,70.640625,84.25,6.182833333333334,0.0,1966500,23.252
1,Depot3_Monday_6,Monday,198,42.70707070707071,43.9,3.0708333333333333,4.10114182783222,5870500,70.556
1,Depot3_Wednesday_1,Wednesday,205,46.49756097560976,45.26,3.2878333333333334,1.550055310333389,6227500,83.301
1,Depot1_Sunday_5,Sunday,35,62.62857142857143,60.25,5.346666666666667,0.0,1763000,28.076
1,Depot3_Thursday_2,Thursday,157,45.7515923566879,49.03,3.5895,1.119951780725509,4058500,49.58
1,Depot3_Saturday_4,Saturday,143,46.24475524475525,51.98,3.769833333333333,1.1344689901761775,3522500,49.83
1,Depot1_Friday_3,Friday,106,67.54716981132076,38.89,3.918,1.0593393847108616,3427000,47.184
1,Depot2_Tuesday_7,Tuesday,52,72.96153846153847,153.37,7.456333333333333,0.0,1959000,16.485
1,Depot1_Thursday_2,Thursday,97,69.81443298969072,40.48,4.0545,0.93900271424023,3151500,35.934
1,Depot1_Saturday_4,Saturday,93,66.86021505376344,39.77,3.9814999999999996,0.7006296981797141,2934500,33.965
1,Depot4_Wednesday_1,Wednesday,29,64.65517241379311,109.15,5.786166666666667,0.0,1250000,14.89
1,Depot1_Wednesday_1,Wednesday,142,72.63380281690141,36.39,3.7651666666666666,1.0870140106452697,5102500,51.875
3,Depot1_Tuesday_7,Tuesday,156,66.30128205128206,38.13,3.706166666666667,2.0119322300545206,5197500,45.67
3,Depot5_Friday_3,Friday,143,66.57342657342657,72.85,4.804833333333334,2.2277279342447227,4179000,41.836
3,Depot2_Saturday_4,Saturday,43,59.30232558139535,160.47,7.433000000000001,0.0,1674500,11.921
3,Depot2_Monday_6,Monday,85,78.05882352941177,124.99,6.458166666666667,4.925924756209455,3490500,36.7
3,Depot3_Sunday_5,Sunday,73,35.97260273972603,61.59,3.7998333333333334,0.0,1731000,11.149
3,Depot2_Thursday_2,Thursday,47,73.1063829787234,166.01,8.144,0.0,1832500,29.548
3,Depot1_Monday_6,Monday,127,71.84251968503936,43.69,4.091,1.932907215718649,3941500,37.962
3,Depot5_Thursday_2,Thursday,111,64.41441441441441,76.3,5.2075,2.06991027919784,2891000,44.728
3,Depot5_Saturday_4,Saturday,155,66.25806451612904,70.43,4.777666666666667,2.1376506146244694,4762000,41.95
3,Depot5_Wednesday_1,Wednesday,164,72.40243902439025,69.67,4.9205000000000005,2.8769724886400265,5195000,51.032
3,Depot4_Friday_3,Friday,24,64.08333333333333,100.76,5.833333333333333,0.0,997000,11.763
3,Depot2_Wednesday_1,Wednesday,86,78.55813953488372,134.64,6.735333333333333,0.0,3583500,29.889
3,Depot3_Tuesday_7,Tuesday,195,47.8974358974359,50.17,3.439833333333333,1.3578846697710287,5257500,54.657
3,Depot4_Monday_6,Monday,33,67.24242424242425,81.22,5.213666666666667,0.0,1402000,39.89
3,Depot1_Thursday_2,Thursday,23,60.69565217391305,84.35,6.818833333333333,0.0,563000,10.836
3,Depot1_Wednesday_1,Wednesday,58,61.63793103448276,57.44,5.054833333333334,0.0,1287500,16.918
3,Depot1_Saturday_4,Saturday,21,62.285714285714285,76.79,5.6531666666666665,0.0,1064000,9.527
3,Depot5_Monday_6,Monday,125,63.24,76.55,4.975666666666667,1.4195932342498183,3385000,37.731
3,Depot2_Friday_3,Friday,89,76.46067415730337,118.77,6.0905000000000005,1.5793910892840517,3774500,24.474
3,Depot1_Friday_3,Friday,92,60.28260869565217,44.71,3.916,2.190431786990116,2416000,21.017
3,Depot1_Monday_6,Monday,58,56.60344827586207,43.44,4.083833333333334,1.0978956999085208,1093000,19.821
3,Depot4_Tuesday_7,Tuesday,28,66.25,91.77,5.573833333333334,0.0,1153000,15.198
3,Depot1_Tuesday_7,Tuesday,1,101.0,47.8,4.05,0.0,57000,0.168
3,Depot5_Tuesday_7,Tuesday,171,72.39181286549707,67.74,4.820833333333334,3.069003793648469,5513500,48.248
3,Depot3_Friday_3,Friday,179,46.87709497206704,52.43,3.5091666666666668,1.1752917280841677,4608500,51.177
3,Depot4_Thursday_2,Thursday,18,59.44444444444444,131.93,6.695333333333334,0.0,655000,5.437
3,Depot4_Saturday_4,Saturday,26,63.19230769230769,113.8,6.0441666666666665,0.0,1051000,34.187
3,Depot5_Sunday_5,Sunday,88,51.375,76.43,4.8468333333333335,0.584927547114861,2390500,30.878
3,Depot3_Monday_6,Monday,184,45.95652173913044,48.87,3.3603333333333336,1.3393842738549326,4833500,40.859
3,Depot3_Wednesday_1,Wednesday,189,50.43386243386244,48.93,3.5573333333333332,2.1848247280857507,4967500,48.34
3,Depot1_Sunday_5,Sunday,41,53.1219512195122,56.92,4.9565,0.0,1587000,25.992
3,Depot3_Thursday_2,Thursday,158,45.462025316455694,49.66,3.527,1.1554831433883064,3645000,45.922
3,Depot3_Saturday_4,Saturday,158,41.85443037974684,51.44,3.467833333333333,1.634142020356243,3702000,39.08
3,Depot1_Friday_3,Friday,113,63.36283185840708,43.3,4.016666666666667,2.4458844597211638,3566000,36.684
3,Depot2_Tuesday_7,Tuesday,55,69.03636363636363,153.94,7.217333333333333,0.0,2142500,20.673
3,Depot1_Thursday_2,Thursday,108,62.71296296296296,43.94,4.066833333333333,3.3482524066032275,2942000,32.493
3,Depot1_Saturday_4,Saturday,111,56.02702702702703,40.41,3.603,3.0060371162190904,2433000,26.785
3,Depot4_Wednesday_1,Wednesday,28,66.96428571428571,97.92,5.725666666666667,0.0,1205000,28.9
3,Depot1_Wednesday_1,Wednesday,160,64.4625,39.34,3.716,2.1173192664801377,5722500,50.607
2,Depot1_Tuesday_7,Tuesday,125,82.736,44.69,4.5615,0.8583891225481745,4525500,53.014
2,Depot5_Friday_3,Friday,123,77.39837398373983,75.4,5.315166666666667,2.14529835503275,3495000,75.895
2,Depot2_Saturday_4,Saturday,38,67.05263157894737,173.54,8.2785,0.0,1497500,20.689
2,Depot2_Monday_6,Monday,74,90.72972972972973,133.6,7.276333333333333,0.4430153593627458,3099500,43.396
2,Depot3_Sunday_5,Sunday,60,43.766666666666666,67.6,4.5095,0.0,1298000,12.699
2,Depot2_Thursday_2,Thursday,42,81.80952380952381,182.96,9.135666666666667,0.0,1655500,41.336
2,Depot1_Monday_6,Monday,106,86.0754716981132,50.51,4.859333333333334,1.5393928449177383,4199500,62.423
2,Depot5_Thursday_2,Thursday,93,76.86021505376344,83.82,6.1015,2.150599664360368,2521000,75.118
2,Depot5_Saturday_4,Saturday,130,79.0,77.7,5.567333333333334,2.8560652780261933,3877000,62.586
2,Depot5_Wednesday_1,Wednesday,142,83.61971830985915,75.84,5.6386666666666665,1.928650437813952,4345000,75.192
2,Depot4_Friday_3,Friday,23,80.8695652173913,101.46,6.560833333333333,0.0,980000,22.914
2,Depot2_Wednesday_1,Wednesday,72,93.83333333333331,145.09,7.7435,0.7232976486888538,3029500,43.531
